Indice;ISIN;Name;Weight;Sector;Country;Currency;Type
CAC40;CAC40TN;CAC40TN;0;Index;FRANCE;EUR;Bench
CAC40;CACTN;CAC All Tradable TR;0;Index;FRANCE;EUR;Bench
CAC40;CAC40Shortx1;CAC40Shortx1;0;Index;FRANCE;EUR;Bench
CAC40;CAC40Shortx2;CAC40Shortx2;0;Index;FRANCE;EUR;Bench
CAC40;FR0000120404;ACCOR SA;0.005297351;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0010340141;ADP;0;Industrials;FRANCE;EUR;Equity
CAC40;FR0000120073;AIR LIQUIDE SA;0.047876062;Materials;FRANCE;EUR;Equity
CAC40;NL0000235190;Airbus SE;0.058270865;Industrials;FRANCE;EUR;Equity
CAC40;FR0000071946;ALTEN;0;Information Technology;FRANCE;EUR;Equity
CAC40;LU1598757687;ArcelorMittal;0.007996002;Materials;LUXEMBOURG;EUR;Equity
CAC40;FR0000051732;AtoS;0.005797101;Information Technology;FRANCE;EUR;Equity
CAC40;FR0000120628;AXA SA;0.035682159;Financials;FRANCE;EUR;Equity
CAC40;FR0000131104;BNP PARIBAS;0.044077961;Financials;FRANCE;EUR;Equity
CAC40;FR0000039299;Bollore;0;Industrials;FRANCE;EUR;Equity
CAC40;FR0000120503;BOUYGUES SA;0.006196902;Industrials;FRANCE;EUR;Equity
CAC40;FR0000125338;CAP GEMINI;0.013593203;Information Technology;FRANCE;EUR;Equity
CAC40;FR0000120172;CARREFOUR SA;0.006996502;Consumer Staples;FRANCE;EUR;Equity
CAC40;FR0000125007;COMPAGNIE DE SAINT GOBAIN;0.012993503;Industrials;FRANCE;EUR;Equity
CAC40;FR0000045072;CREDIT AGRICOLE SA;0.011394303;Financials;FRANCE;EUR;Equity
CAC40;FR0000120644;Danone;0.034982509;Consumer Staples;FRANCE;EUR;Equity
CAC40;FR0000121725;DASSAULT AVIATION SA;0;Industrials;FRANCE;EUR;Equity
CAC40;FR0000130650;DASSAULT SYSTEMES SA;0.014892554;Information Technology;FRANCE;EUR;Equity
CAC40;FR0010208488;ENGIE;0.021289355;Utilities;FRANCE;EUR;Equity
CAC40;FR0000121667;EssilorLuxottica SA;0.030984508;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0011476928;GROUPE FNAC;0;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0000052292;HERMES INTERNATIONAL;0.016391804;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0004035913;ILIAD SA;0;Communication Services;FRANCE;EUR;Equity
CAC40;FR0010259150;IPSEN;0;Health Care;FRANCE;EUR;Equity
CAC40;FR0000073298;IPSOS;0;Communication Services;FRANCE;EUR;Equity
CAC40;FR0000121485;KERING;0.033083458;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0010307819;Legrand SA;0.014292854;Industrials;FRANCE;EUR;Equity
CAC40;FR0000120321;L'OREAL;0.050074963;Consumer Staples;FRANCE;EUR;Equity
CAC40;FR0000121014;LVMH MOET HENNESSY LOUIS VUI;0.086256872;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0000121261;MICHELIN (CGDE);0.014492754;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0010112524;NEXITY;0;Real Estate;FRANCE;EUR;Equity
CAC40;FR0000133308;Orange;0.017491254;Communication Services;FRANCE;EUR;Equity
CAC40;FR0000120693;PERNOD RICARD SA;0.023388306;Consumer Staples;FRANCE;EUR;Equity
CAC40;FR0000121501;PEUGEOT SA;0.008695652;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0000130577;PUBLICIS GROUPE;0.006496752;Communication Services;FRANCE;EUR;Equity
CAC40;FR0000131906;RENAULT SA;0.005297351;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0000073272;Safran SA;0.035282359;Industrials;FRANCE;EUR;Equity
CAC40;FR0000120578;Sanofi;0.076561719;Health Care;FRANCE;EUR;Equity
CAC40;FR0000121972;SCHNEIDER ELECTRIC SA;0.03908046;Industrials;FRANCE;EUR;Equity
CAC40;FR0000121709;SEB SA;0;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;FR0000130809;SOCIETE GENERALE SA;0.018690655;Financials;FRANCE;EUR;Equity
CAC40;FR0000121220;SODEXO;0.006396802;Consumer Discretionary;FRANCE;EUR;Equity
CAC40;NL0000226223;STMICROELECTRONICS NV;0.013293353;Information Technology;NETHERLANDS;EUR;Equity
CAC40;GB00BDSFG982;TechnipFMC PLC;0.005197401;Energy;UNITED KINGDOM;EUR;Equity
CAC40;FR0000121329;THALES SA;0.007496252;Industrials;FRANCE;EUR;Equity
CAC40;FR0000120271;TOTAL SA;0.084257871;Energy;FRANCE;EUR;Equity
CAC40;FR0013326246;UNIBAIL RODAMCO SE;0.012693653;Real Estate;FRANCE;EUR;Equity
CAC40;FR0000124141;VEOLIA ENVIRONNEMENT;0.011394303;Utilities;FRANCE;EUR;Equity
CAC40;FR0000125486;Vinci SA;0.03948026;Industrials;FRANCE;EUR;Equity
CAC40;FR0000127771;Vivendi SA;0.015892054;Communication Services;FRANCE;EUR;Equity
CAC40;FR0010591362;Lyxor Daily ( 1x) Inverse ;0;Fonds;FRANCE;EUR;Fonds
CAC40;FR0010411884;Lyxor Daily ( 2x) Inverse;0;Fonds;FRANCE;EUR;Fonds
CAC40;QS0011017686;Biens de consommation;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;QS0011017652;Industries;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;QS0011017637;Materiaux de base;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;QS0011017603;Petrole & Gaz;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;QS0011017702;Sante;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;QS0011017785;Services aux collectivites;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;QS0011017736;Services aux consommateurs;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;QS0011017801;Societes Financieres;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;QS0011017827;Technologie;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;QS0011017769;Telecommunications;0;Index_Sector;FRANCE;EUR;Index_Sector
CAC40;FR0003500008;CAC 40;0;Index_Size;FRANCE;EUR;Index_Size
CAC40;QS0010989117;CAC Mid 60;0;Index_Size;FRANCE;EUR;Index_Size
CAC40;FR0011710375;CAC PME;0;Index_Size;FRANCE;EUR;Index_Size
CAC40;QS0010989125;CAC Small;0;Index_Size;FRANCE;EUR;Index_Size
Fonds;CAC40TN;CAC40TN;0;Index;FRANCE;EUR;Bench
Fonds;CACTN;CAC All Tradable TR;0;Index;FRANCE;EUR;Bench
Fonds;CAC40Shortx1;CAC40Shortx1;0;Index;FRANCE;EUR;Bench
Fonds;CAC40Shortx2;CAC40Shortx2;0;Index;FRANCE;EUR;Bench
Fonds;FR0000120404;ACCOR SA;0;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0010340141;ADP;0.061027837;Industrials;FRANCE;EUR;Equity
Fonds;FR0000120073;AIR LIQUIDE SA;0;Materials;FRANCE;EUR;Equity
Fonds;NL0000235190;Airbus SE;0;Industrials;FRANCE;EUR;Equity
Fonds;FR0000071946;ALTEN;0.021413276;Information Technology;FRANCE;EUR;Equity
Fonds;LU1598757687;ArcelorMittal;0;Materials;LUXEMBOURG;EUR;Equity
Fonds;FR0000051732;AtoS;0;Information Technology;FRANCE;EUR;Equity
Fonds;FR0000120628;AXA SA;0;Financials;FRANCE;EUR;Equity
Fonds;FR0000131104;BNP PARIBAS;0;Financials;FRANCE;EUR;Equity
Fonds;FR0000039299;Bollore;0.029789646;Industrials;FRANCE;EUR;Equity
Fonds;FR0000120503;BOUYGUES SA;0;Industrials;FRANCE;EUR;Equity
Fonds;FR0000125338;CAP GEMINI;0.069530168;Information Technology;FRANCE;EUR;Equity
Fonds;FR0000120172;CARREFOUR SA;0;Consumer Staples;FRANCE;EUR;Equity
Fonds;FR0000125007;COMPAGNIE DE SAINT GOBAIN;0;Industrials;FRANCE;EUR;Equity
Fonds;FR0000045072;CREDIT AGRICOLE SA;0;Financials;FRANCE;EUR;Equity
Fonds;FR0000120644;Danone;0.054351933;Consumer Staples;FRANCE;EUR;Equity
Fonds;FR0000121725;DASSAULT AVIATION SA;0.008691271;Industrials;FRANCE;EUR;Equity
Fonds;FR0000130650;DASSAULT SYSTEMES SA;0;Information Technology;FRANCE;EUR;Equity
Fonds;FR0010208488;ENGIE;0;Utilities;FRANCE;EUR;Equity
Fonds;FR0000121667;EssilorLuxottica SA;0.088339841;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0011476928;GROUPE FNAC;0.007494647;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0000052292;HERMES INTERNATIONAL;0;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0004035913;ILIAD SA;0.058004786;Communication Services;FRANCE;EUR;Equity
Fonds;FR0010259150;IPSEN;0.029096864;Health Care;FRANCE;EUR;Equity
Fonds;FR0000073298;IPSOS;0.013036906;Communication Services;FRANCE;EUR;Equity
Fonds;FR0000121485;KERING;0;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0010307819;Legrand SA;0.067577781;Industrials;FRANCE;EUR;Equity
Fonds;FR0000120321;L'OREAL;0;Consumer Staples;FRANCE;EUR;Equity
Fonds;FR0000121014;LVMH MOET HENNESSY LOUIS VUI;0.082378133;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0000121261;MICHELIN (CGDE);0.01398161;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0010112524;NEXITY;0.003526893;Real Estate;FRANCE;EUR;Equity
Fonds;FR0000133308;Orange;0;Communication Services;FRANCE;EUR;Equity
Fonds;FR0000120693;PERNOD RICARD SA;0.009510014;Consumer Staples;FRANCE;EUR;Equity
Fonds;FR0000121501;PEUGEOT SA;0;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0000130577;PUBLICIS GROUPE;0;Communication Services;FRANCE;EUR;Equity
Fonds;FR0000131906;RENAULT SA;0.03665449;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0000073272;Safran SA;0;Industrials;FRANCE;EUR;Equity
Fonds;FR0000120578;Sanofi;0;Health Care;FRANCE;EUR;Equity
Fonds;FR0000121972;SCHNEIDER ELECTRIC SA;0;Industrials;FRANCE;EUR;Equity
Fonds;FR0000121709;SEB SA;0.007683587;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;FR0000130809;SOCIETE GENERALE SA;0;Financials;FRANCE;EUR;Equity
Fonds;FR0000121220;SODEXO;0;Consumer Discretionary;FRANCE;EUR;Equity
Fonds;NL0000226223;STMICROELECTRONICS NV;0;Information Technology;NETHERLANDS;EUR;Equity
Fonds;GB00BDSFG982;TechnipFMC PLC;0;Energy;UNITED KINGDOM;EUR;Equity
Fonds;FR0000121329;THALES SA;0.033883361;Industrials;FRANCE;EUR;Equity
Fonds;FR0000120271;TOTAL SA;0.059201411;Energy;FRANCE;EUR;Equity
Fonds;FR0013326246;UNIBAIL RODAMCO SE;0.067703741;Real Estate;FRANCE;EUR;Equity
Fonds;FR0000124141;VEOLIA ENVIRONNEMENT;0;Utilities;FRANCE;EUR;Equity
Fonds;FR0000125486;Vinci SA;0.035017005;Industrials;FRANCE;EUR;Equity
Fonds;FR0000127771;Vivendi SA;0.082104799;Communication Services;FRANCE;EUR;Equity
Fonds;FR0010591362;Lyxor Daily ( 1x) Inverse ;0;Fonds;FRANCE;EUR;Fonds
Fonds;FR0010411884;Lyxor Daily ( 2x) Inverse;0;Fonds;FRANCE;EUR;Fonds
Fonds;QS0011017686;Biens de consommation;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;QS0011017652;Industries;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;QS0011017637;Materiaux de base;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;QS0011017603;Petrole & Gaz;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;QS0011017702;Sante;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;QS0011017785;Services aux collectivites;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;QS0011017736;Services aux consommateurs;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;QS0011017801;Societes Financieres;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;QS0011017827;Technologie;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;QS0011017769;Telecommunications;0;Index_Sector;FRANCE;EUR;Index_Sector
Fonds;FR0003500008;CAC 40;0;Index_Size;FRANCE;EUR;Index_Size
Fonds;QS0010989117;CAC Mid 60;0;Index_Size;FRANCE;EUR;Index_Size
Fonds;FR0011710375;CAC PME;0;Index_Size;FRANCE;EUR;Index_Size
Fonds;QS0010989125;CAC Small;0;Index_Size;FRANCE;EUR;Index_Size
FondsF1;CAC40TN;CAC40TN;0;Index;FRANCE;EUR;Bench
FondsF1;CACTN;CAC All Tradable TR;0;Index;FRANCE;EUR;Bench
FondsF1;CAC40Shortx1;CAC40Shortx1;0;Index;FRANCE;EUR;Bench
FondsF1;CAC40Shortx2;CAC40Shortx2;0;Index;FRANCE;EUR;Bench
FondsF1;FR0000120404;ACCOR SA;0;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0010340141;ADP;0.061027837;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000120073;AIR LIQUIDE SA;0;Materials;FRANCE;EUR;Equity
FondsF1;NL0000235190;Airbus SE;0;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000071946;ALTEN;0.021413276;Information Technology;FRANCE;EUR;Equity
FondsF1;LU1598757687;ArcelorMittal;0;Materials;LUXEMBOURG;EUR;Equity
FondsF1;FR0000051732;AtoS;0;Information Technology;FRANCE;EUR;Equity
FondsF1;FR0000120628;AXA SA;0;Financials;FRANCE;EUR;Equity
FondsF1;FR0000131104;BNP PARIBAS;0;Financials;FRANCE;EUR;Equity
FondsF1;FR0000039299;Bollore;0.029789646;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000120503;BOUYGUES SA;0;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000125338;CAP GEMINI;0.069530168;Information Technology;FRANCE;EUR;Equity
FondsF1;FR0000120172;CARREFOUR SA;0;Consumer Staples;FRANCE;EUR;Equity
FondsF1;FR0000125007;COMPAGNIE DE SAINT GOBAIN;0;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000045072;CREDIT AGRICOLE SA;0;Financials;FRANCE;EUR;Equity
FondsF1;FR0000120644;Danone;0.054351933;Consumer Staples;FRANCE;EUR;Equity
FondsF1;FR0000121725;DASSAULT AVIATION SA;0.008691271;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000130650;DASSAULT SYSTEMES SA;0;Information Technology;FRANCE;EUR;Equity
FondsF1;FR0010208488;ENGIE;0;Utilities;FRANCE;EUR;Equity
FondsF1;FR0000121667;EssilorLuxottica SA;0.088339841;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0011476928;GROUPE FNAC;0.007494647;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0000052292;HERMES INTERNATIONAL;0;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0004035913;ILIAD SA;0.058004786;Communication Services;FRANCE;EUR;Equity
FondsF1;FR0010259150;IPSEN;0.029096864;Health Care;FRANCE;EUR;Equity
FondsF1;FR0000073298;IPSOS;0.013036906;Communication Services;FRANCE;EUR;Equity
FondsF1;FR0000121485;KERING;0;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0010307819;Legrand SA;0.067577781;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000120321;L'OREAL;0;Consumer Staples;FRANCE;EUR;Equity
FondsF1;FR0000121014;LVMH MOET HENNESSY LOUIS VUI;0.082378133;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0000121261;MICHELIN (CGDE);0.01398161;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0010112524;NEXITY;0.003526893;Real Estate;FRANCE;EUR;Equity
FondsF1;FR0000133308;Orange;0;Communication Services;FRANCE;EUR;Equity
FondsF1;FR0000120693;PERNOD RICARD SA;0.009510014;Consumer Staples;FRANCE;EUR;Equity
FondsF1;FR0000121501;PEUGEOT SA;0;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0000130577;PUBLICIS GROUPE;0;Communication Services;FRANCE;EUR;Equity
FondsF1;FR0000131906;RENAULT SA;0.03665449;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0000073272;Safran SA;0;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000120578;Sanofi;0;Health Care;FRANCE;EUR;Equity
FondsF1;FR0000121972;SCHNEIDER ELECTRIC SA;0;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000121709;SEB SA;0.007683587;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;FR0000130809;SOCIETE GENERALE SA;0;Financials;FRANCE;EUR;Equity
FondsF1;FR0000121220;SODEXO;0;Consumer Discretionary;FRANCE;EUR;Equity
FondsF1;NL0000226223;STMICROELECTRONICS NV;0;Information Technology;NETHERLANDS;EUR;Equity
FondsF1;GB00BDSFG982;TechnipFMC PLC;0;Energy;UNITED KINGDOM;EUR;Equity
FondsF1;FR0000121329;THALES SA;0.033883361;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000120271;TOTAL SA;0.059201411;Energy;FRANCE;EUR;Equity
FondsF1;FR0013326246;UNIBAIL RODAMCO SE;0.067703741;Real Estate;FRANCE;EUR;Equity
FondsF1;FR0000124141;VEOLIA ENVIRONNEMENT;0;Utilities;FRANCE;EUR;Equity
FondsF1;FR0000125486;Vinci SA;0.035017005;Industrials;FRANCE;EUR;Equity
FondsF1;FR0000127771;Vivendi SA;0.082104799;Communication Services;FRANCE;EUR;Equity
FondsF1;FR0010591362;Lyxor Daily ( 1x) Inverse ;0;Fonds;FRANCE;EUR;Fonds
FondsF1;FR0010411884;Lyxor Daily ( 2x) Inverse;0.05;Fonds;FRANCE;EUR;Fonds
FondsF1;QS0011017686;Biens de consommation;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF1;QS0011017652;Industries;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF1;QS0011017637;Materiaux de base;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF1;QS0011017603;Petrole & Gaz;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF1;QS0011017702;Sante;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF1;QS0011017785;Services aux collectivites;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF1;QS0011017736;Services aux consommateurs;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF1;QS0011017801;Societes Financieres;0;Index_Sector;FRANCE;EUR;Index_Sector
FondsF1;QS0011017827;Technologie;0;Index_Sector;FRANCE;EUR;Index_Sector
